2017-06-14 09:38:37.198 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:38:37.201 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:38:37.213 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:38:50.804 INFO  WebApplication.Handlers.ShippingProcessedHandler Received ShippingProcessedEvent, OrderId = 10d4ad19-9827-4904-8d1a-8748e4b80d69 - Notifying the UI
2017-06-14 09:46:31.203 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApplication\App_Data\' with level Info
2017-06-14 09:46:31.394 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 09:46:31.526 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-14 09:46:31.638 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:46:31.663 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:46:31.674 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:46:31.687 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:46:31.705 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:46:31.730 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:46:31.732 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:46:31.734 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:48:47.420 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApplication\App_Data\' with level Info
2017-06-14 09:48:47.652 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 09:48:47.752 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-14 09:48:47.854 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:47.887 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:47.900 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:47.912 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:47.928 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:47.942 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:48:47.949 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:48:47.955 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:49:15.711 INFO  WebApplication.Handlers.ShippingProcessedHandler Received ShippingProcessedEvent, OrderId = 2d0b4260-2017-4f6d-9333-572596e00d7a - Notifying the UI
2017-06-14 11:11:44.620 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApplication\App_Data\' with level Info
2017-06-14 11:11:45.022 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 11:11:45.150 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-14 11:11:45.289 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:11:45.308 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:11:45.333 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:11:45.350 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:11:45.383 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:11:45.407 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:11:45.434 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:11:45.461 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:12:27.178 INFO  WebApplication.Handlers.ShippingProcessedHandler Received ShippingProcessedEvent, OrderId = 2ba5a0ab-4065-4067-92c3-8cc15d4f76f6 - Notifying the UI
2017-06-14 11:26:05.350 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApplication\App_Data\' with level Info
2017-06-14 11:26:05.603 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 11:26:05.840 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-14 11:26:06.001 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:26:06.028 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:26:06.074 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:26:06.149 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:26:06.191 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:26:06.221 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:26:06.232 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:26:06.235 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:26:10.356 INFO  WebApplication.Handlers.ShippingProcessedHandler Received ShippingProcessedEvent, OrderId = 0b45f9ad-dca0-492a-95e8-321666fee783 - Notifying the UI
2017-06-14 11:46:22.152 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApplication\App_Data\' with level Info
2017-06-14 11:46:22.466 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 11:46:22.664 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-14 11:46:22.832 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:46:22.850 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:46:22.865 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
